pair,count,mean_sim,max_sim,coverage_min,coverage_a,coverage_b,student_a_sent_total,student_b_sent_total,score
"(paraphrase_1, paraphrase_5)",12,0.9572935203711191,0.9822498559951782,1.0,1.0,1.0,6,6,0.9042548865477243
"(paraphrase_1, paraphrase_4)",12,0.9536528587341309,0.9796181917190552,1.0,1.0,1.0,6,6,0.9024038722515106
"(paraphrase_4, paraphrase_5)",12,0.9479353229204813,0.9887059926986694,1.0,1.0,1.0,6,6,0.901480028072993
"(paraphrase_2, paraphrase_5)",12,0.9437277019023895,0.9852145314216614,1.0,1.0,1.0,6,6,0.8992732604742051
"(paraphrase_2, paraphrase_4)",12,0.945508340994517,0.9715083837509155,1.0,1.0,1.0,6,6,0.8979295939604441
"(paraphrase_2, paraphrase_3)",12,0.9370510776837667,0.9766103029251099,1.0,1.0,1.0,6,6,0.8953119765122732
"(paraphrase_3, paraphrase_4)",12,0.9399303595225016,0.967270016670227,1.0,1.0,1.0,6,6,0.8950626463095347
"(paraphrase_1, paraphrase_3)",12,0.9413028061389923,0.9586048722267151,1.0,1.0,1.0,6,6,0.8943118532896043
"(paraphrase_1, paraphrase_2)",12,0.9304525951544443,0.9562597274780273,1.0,1.0,1.0,6,6,0.8896199971834818
"(paraphrase_3, paraphrase_5)",10,0.9478759288787841,0.9666522741317749,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,6,0.8358148793379466
