pair,count,mean_sim,max_sim,coverage_min,score
"('paraphrase_1', 'paraphrase_5')",12,0.9572934905687968,0.9822498559951782,1.0,0.9726010799407958
"('paraphrase_1', 'paraphrase_4')",12,0.9536528488000234,0.9796183109283447,1.0,0.9701535403728485
"('paraphrase_4', 'paraphrase_5')",12,0.9479352931181589,0.9887059926986694,1.0,0.9676317751407623
"('paraphrase_2', 'paraphrase_5')",12,0.9437276721000671,0.9852145314216614,1.0,0.9647580564022062
"('paraphrase_2', 'paraphrase_4')",12,0.9455082913239797,0.9715083837509155,1.0,0.9644558131694793
"('paraphrase_3', 'paraphrase_4')",12,0.9399302999178568,0.9672698974609375,1.0,0.9606851696968078
"('paraphrase_1', 'paraphrase_3')",12,0.9413028160730997,0.9586049318313599,1.0,0.9606421828269958
"('paraphrase_2', 'paraphrase_3')",12,0.9370510776837667,0.9766102433204651,1.0,0.9598916709423065
"('paraphrase_1', 'paraphrase_2')",12,0.9304526150226593,0.9562596082687378,1.0,0.9538975298404694
"('paraphrase_3', 'paraphrase_5')",10,0.9478759527206421,0.9666522741317749,0.8333333333333334,0.9153907990455628
